dataset, 16, 32, 64, 128, 256, 512
amazon0505, 50.918, 57.657, 86.051, 130.785, 264.415, 3585.249
artist, 8.587, 9.353, 12.378, 17.085, 34.781, 90.222
com-amazon, 36.358, 43.311, 60.494, 102.490, 189.273, 1220.875
soc-BlogCatalog, 11.109, 12.151, 17.717, 26.860, 50.727, 137.145
amazon0601, 48.517, 56.329, 78.434, 125.459, 240.402, 3872.589
