dataset, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512
amazon0505, 26.452, 26.319, 26.235, 26.377, 26.366, 26.187, 27.150, 26.651, 26.796, 26.924
artist, 3.692, 3.581, 3.536, 3.648, 3.637, 3.618, 3.824, 3.803, 3.616, 4.044
com-amazon, 18.834, 18.820, 18.809, 18.979, 19.023, 18.986, 19.533, 19.210, 19.408, 21.199
soc-BlogCatalog, 6.214, 6.032, 6.065, 6.220, 6.124, 6.222, 6.467, 6.330, 6.260, 7.050
amazon0601, 25.774, 25.723, 25.729, 25.758, 25.639, 25.631, 26.216, 26.090, 26.273, 28.647
